,equity
2026-06-15,2.574813853049685
2026-06-16,2.572084847964568
2026-06-17,2.58370240483818
2026-06-18,2.581584342670624
2026-06-22,2.6126265260707844
2026-06-23,2.610896582579805
2026-06-24,2.619912925116948
2026-06-25,2.6180071677226144
2026-06-26,2.5862568428636257
2026-06-29,2.633384314842729
2026-06-30,2.658842222652689
2026-07-01,2.6331570183045323
2026-07-02,2.5558964985296084
2026-07-03,2.550083262250254
2026-07-06,2.5670792040758634
2026-07-07,2.5898813768745734
2026-07-08,2.6085743472287364
2026-07-09,2.659576918242654
2026-07-10,2.618657950279084
2026-07-13,2.6016724417808996
2026-07-14,2.602821902005836
2026-07-15,2.5786748130490538
2026-07-16,2.535533246702184
2026-07-17,2.49940194277658
2026-07-20,2.51629315270701
2026-07-21,2.5490313150406405
2026-07-22,2.5479683924839946
2026-07-23,2.543704889879195
2026-07-24,2.535588358853054
2026-07-27,2.5236184541397493
2026-07-28,2.480549333216079
2026-07-29,2.4872111118648315
2026-07-30,2.490716955409053
2026-07-31,2.5063084885904727
2026-08-03,2.435347787306674
2026-08-04,2.444425781077438
